|-----------||--------------||--------------||--------------||--------------||--------------||--------------||--------------||--------------||--------------||--------------|
|     x     ||     J_{0}    ||     J_{1}    ||     J_{2}    ||     J_{3}    ||     J_{4}    ||     J_{5}    ||     J_{6}    ||     J_{7}    ||     J_{8}    ||     J_{9}    |
|-----------||--------------||--------------||--------------||--------------||--------------||--------------||--------------||--------------||--------------||--------------|
|   29.70   ||   -0.11777   ||   -0.08896   ||   +0.11178   ||   +0.10401   ||   -0.09076   ||   -0.12846   ||   +0.04751   ||   +0.14766   ||   +0.02209   ||   -0.13576   |
|   30.69   ||   +0.00797   ||   -0.14368   ||   -0.01734   ||   +0.14143   ||   +0.04499   ||   -0.12970   ||   -0.08725   ||   +0.09558   ||   +0.13085   ||   -0.02737   |
|   31.68   ||   +0.12264   ||   -0.06915   ||   -0.12701   ||   +0.05312   ||   +0.13707   ||   -0.01850   ||   -0.14291   ||   -0.03563   ||   +0.12716   ||   +0.09985   |
|   32.67   ||   +0.12477   ||   +0.06449   ||   -0.12083   ||   -0.07928   ||   +0.10626   ||   +0.10531   ||   -0.07403   ||   -0.13250   ||   +0.01725   ||   +0.14095   |
|   33.66   ||   +0.01589   ||   +0.13685   ||   -0.00776   ||   -0.13777   ||   -0.01680   ||   +0.13378   ||   +0.05654   ||   -0.11362   ||   -0.10380   ||   +0.06428   |
|   34.65   ||   -0.10397   ||   +0.08547   ||   +0.10890   ||   -0.07289   ||   -0.12152   ||   +0.04484   ||   +0.13446   ||   +0.00173   ||   -0.13376   ||   -0.06350   |
|   35.64   ||   -0.12793   ||   -0.04047   ||   +0.12566   ||   +0.05457   ||   -0.11647   ||   -0.08072   ||   +0.09382   ||   +0.11231   ||   -0.04970   ||   -0.13462   |
|   36.63   ||   -0.03733   ||   -0.12695   ||   +0.03040   ||   +0.13027   ||   -0.00906   ||   -0.13225   ||   -0.02704   ||   +0.12339   ||   +0.07420   ||   -0.09098   |
|   37.62   ||   +0.08409   ||   -0.09813   ||   -0.08931   ||   +0.08864   ||   +0.10345   ||   -0.06664   ||   -0.12116   ||   +0.02799   ||   +0.13158   ||   +0.02797   |
|   38.61   ||   +0.12744   ||   +0.01731   ||   -0.12655   ||   -0.03042   ||   +0.12182   ||   +0.05566   ||   -0.10740   ||   -0.08904   ||   +0.07512   ||   +0.12017   |
|   39.60   ||   +0.05611   ||   +0.11441   ||   -0.05033   ||   -0.11950   ||   +0.03223   ||   +0.12601   ||   -0.00041   ||   -0.12613   ||   -0.04418   ||   +0.10828   |
|   40.59   ||   -0.06348   ||   +0.10717   ||   +0.06876   ||   -0.10040   ||   -0.08360   ||   +0.08392   ||   +0.10428   ||   -0.05309   ||   -0.12259   ||   +0.00477   |
|   41.58   ||   -0.12358   ||   +0.00459   ||   +0.12380   ||   +0.00732   ||   -0.12275   ||   -0.03094   ||   +0.11531   ||   +0.06422   ||   -0.09369   ||   -0.10027   |
|   42.57   ||   -0.07203   ||   -0.09967   ||   +0.06734   ||   +0.10600   ||   -0.05240   ||   -0.11585   ||   +0.02519   ||   +0.12295   ||   +0.01524   ||   -0.11722   |
|   43.56   ||   +0.04261   ||   -0.11265   ||   -0.04778   ||   +0.10826   ||   +0.06270   ||   -0.09674   ||   -0.08491   ||   +0.07335   ||   +0.10848   ||   -0.03351   |
|   44.55   ||   +0.11664   ||   -0.02484   ||   -0.11776   ||   +0.01426   ||   +0.11968   ||   +0.00723   ||   -0.11806   ||   -0.03903   ||   +0.10579   ||   +0.07702   |
|   45.54   ||   +0.08492   ||   +0.08320   ||   -0.08126   ||   -0.09034   ||   +0.06936   ||   +0.10253   ||   -0.04684   ||   -0.11487   ||   +0.01153   ||   +0.11892   |
|   46.53   ||   -0.02195   ||   +0.11466   ||   +0.02688   ||   -0.11235   ||   -0.04137   ||   +0.10523   ||   +0.06399   ||   -0.08873   ||   -0.09068   ||   +0.05755   |
|   47.52   ||   -0.10697   ||   +0.04309   ||   +0.10878   ||   -0.03393   ||   -0.11306   ||   +0.01490   ||   +0.11620   ||   +0.01445   ||   -0.11194   ||   -0.05214   |
|   48.51   ||   -0.09467   ||   -0.06549   ||   +0.09197   ||   +0.07307   ||   -0.08293   ||   -0.08674   ||   +0.06505   ||   +0.10284   ||   -0.03537   ||   -0.11450   |
|   49.50   ||   +0.00197   ||   -0.11337   ||   -0.00655   ||   +0.11284   ||   +0.02023   ||   -0.10957   ||   -0.04237   ||   +0.09930   ||   +0.07045   ||   -0.07653   |
|   50.49   ||   +0.09493   ||   -0.05903   ||   -0.09727   ||   +0.05132   ||   +0.10337   ||   -0.03494   ||   -0.11029   ||   +0.00873   ||   +0.11271   ||   +0.02699   |
|   51.48   ||   +0.10123   ||   +0.04701   ||   -0.09940   ||   -0.05473   ||   +0.09303   ||   +0.06919   ||   -0.07959   ||   -0.08774   ||   +0.05573   ||   +0.10506   |
|   52.47   ||   +0.01690   ||   +0.10901   ||   -0.01275   ||   -0.10998   ||   +0.00017   ||   +0.11001   ||   +0.02080   ||   -0.10525   ||   -0.04888   ||   +0.09035   |
|   53.46   ||   -0.08096   ||   +0.07241   ||   +0.08367   ||   -0.06615   ||   -0.09110   ||   +0.05251   ||   +0.10092   ||   -0.02986   ||   -0.10874   ||   -0.00268   |
|   54.45   ||   -0.10462   ||   -0.02826   ||   +0.10359   ||   +0.03587   ||   -0.09963   ||   -0.05051   ||   +0.09036   ||   +0.07042   ||   -0.07225   ||   -0.09165   |
|   55.44   ||   -0.03427   ||   -0.10184   ||   +0.03060   ||   +0.10405   ||   -0.01933   ||   -0.10684   ||   +0.00006   ||   +0.10685   ||   +0.02692   ||   -0.09908   |
|   56.43   ||   +0.06550   ||   -0.08304   ||   -0.06844   ||   +0.07818   ||   +0.07675   ||   -0.06730   ||   -0.08868   ||   +0.04844   ||   +0.10070   ||   -0.01989   |
|   57.42   ||   +0.10492   ||   +0.00972   ||   -0.10459   ||   -0.01701   ||   +0.10281   ||   +0.03133   ||   -0.09735   ||   -0.05168   ||   +0.08475   ||   +0.07529   |
|   58.41   ||   +0.04978   ||   +0.09220   ||   -0.04662   ||   -0.09539   ||   +0.03682   ||   +0.10043   ||   -0.01963   ||   -0.10446   ||   -0.00541   ||   +0.10298   |
|   59.40   ||   -0.04900   ||   +0.09078   ||   +0.05205   ||   -0.08728   ||   -0.06087   ||   +0.07908   ||   +0.07418   ||   -0.06409   ||   -0.08929   ||   +0.04004   |
|   60.39   ||   -0.10228   ||   +0.00815   ||   +0.10255   ||   -0.00136   ||   -0.10268   ||   -0.01225   ||   +0.10065   ||   +0.03225   ||   -0.09318   ||   -0.05693   |
|   61.38   ||   -0.06312   ||   -0.08044   ||   +0.06050   ||   +0.08438   ||   -0.05225   ||   -0.09119   ||   +0.03740   ||   +0.09850   ||   -0.01493   ||   -0.10239   |
|   62.37   ||   +0.03193   ||   -0.09560   ||   -0.03499   ||   +0.09335   ||   +0.04397   ||   -0.08771   ||   -0.05804   ||   +0.07655   ||   +0.07522   ||   -0.05725   |
|   63.36   ||   +0.09689   ||   -0.02493   ||   -0.09767   ||   +0.01876   ||   +0.09945   ||   -0.00621   ||   -0.10043   ||   -0.01281   ||   +0.09760   ||   +0.03746   |
|   64.35   ||   +0.07406   ||   +0.06697   ||   -0.07198   ||   -0.07144   ||   +0.06532   ||   +0.07956   ||   -0.05296   ||   -0.08944   ||   +0.03350   ||   +0.09777   |
|   65.34   ||   -0.01475   ||   +0.09749   ||   +0.01774   ||   -0.09640   ||   -0.02659   ||   +0.09315   ||   +0.04085   ||   -0.08564   ||   -0.05920   ||   +0.07115   |
|   66.33   ||   -0.08902   ||   +0.04023   ||   +0.09023   ||   -0.03479   ||   -0.09338   ||   +0.02353   ||   +0.09693   ||   -0.00600   ||   -0.09819   ||   -0.01769   |
|   67.32   ||   -0.08243   ||   -0.05221   ||   +0.08088   ||   +0.05702   ||   -0.07579   ||   -0.06602   ||   +0.06599   ||   +0.07779   ||   -0.04981   ||   -0.08962   |
|   68.31   ||   -0.00207   ||   -0.09653   ||   -0.00075   ||   +0.09649   ||   +0.00923   ||   -0.09541   ||   -0.02320   ||   +0.09133   ||   +0.04191   ||   -0.08152   |
|   69.30   ||   +0.07898   ||   -0.05373   ||   -0.08053   ||   +0.04908   ||   +0.08478   ||   -0.03929   ||   -0.09045   ||   +0.02363   ||   +0.09523   ||   -0.00164   |
|   70.29   ||   +0.08810   ||   +0.03661   ||   -0.08706   ||   -0.04157   ||   +0.08351   ||   +0.05107   ||   -0.07624   ||   -0.06409   ||   +0.06348   ||   +0.07854   |
|   71.28   ||   +0.01813   ||   +0.09288   ||   -0.01552   ||   -0.09375   ||   +0.00763   ||   +0.09461   ||   +0.00564   ||   -0.09366   ||   -0.02404   ||   +0.08826   |
|   72.27   ||   -0.06713   ||   +0.06513   ||   +0.06894   ||   -0.06131   ||   -0.07403   ||   +0.05312   ||   +0.08138   ||   -0.03960   ||   -0.08905   ||   +0.01989   |
|   73.26   ||   -0.09105   ||   -0.02062   ||   +0.09048   ||   +0.02557   ||   -0.08839   ||   -0.03522   ||   +0.08358   ||   +0.04891   ||   -0.07424   ||   -0.06512   |
|   74.25   ||   -0.03301   ||   -0.08674   ||   +0.03067   ||   +0.08839   ||   -0.02353   ||   -0.09092   ||   +0.01128   ||   +0.09275   ||   +0.00620   ||   -0.09141   |
|   75.24   ||   +0.05386   ||   -0.07421   ||   -0.05583   ||   +0.07124   ||   +0.06151   ||   -0.06470   ||   -0.07011   ||   +0.05352   ||   +0.08007   ||   -0.03649   |
|   76.23   ||   +0.09129   ||   +0.00469   ||   -0.09117   ||   -0.00947   ||   +0.09042   ||   +0.01896   ||   -0.08794   ||   -0.03280   ||   +0.08191   ||   +0.05000   |
|   77.22   ||   +0.04637   ||   +0.07836   ||   -0.04434   ||   -0.08066   ||   +0.03808   ||   +0.08461   ||   -0.02712   ||   -0.08882   ||   +0.01102   ||   +0.09110   |
|   78.21   ||   -0.03957   ||   +0.08083   ||   +0.04163   ||   -0.07870   ||   -0.04767   ||   +0.07382   ||   +0.05711   ||   -0.06506   ||   -0.06876   ||   +0.05100   |
|   79.20   ||   -0.08894   ||   +0.01078   ||   +0.08921   ||   -0.00627   ||   -0.08968   ||   -0.00279   ||   +0.08933   ||   +0.01632   ||   -0.08644   ||   -0.03379   |
|   80.19   ||   -0.05791   ||   -0.06807   ||   +0.05622   ||   +0.07088   ||   -0.05091   ||   -0.07596   ||   +0.04144   ||   +0.08216   ||   -0.02710   ||   -0.08756   |
|   81.18   ||   +0.02468   ||   -0.08490   ||   -0.02677   ||   +0.08358   ||   +0.03295   ||   -0.08033   ||   -0.04284   ||   +0.07400   ||   +0.05561   ||   -0.06304   |
|   82.17   ||   +0.08413   ||   -0.02536   ||   -0.08475   ||   +0.02123   ||   +0.08630   ||   -0.01283   ||   -0.08786   ||   +0.00000   ||   +0.08786   ||   +0.01711   |
|   83.16   ||   +0.06739   ||   +0.05621   ||   -0.06603   ||   -0.05939   ||   +0.06175   ||   +0.06533   ||   -0.05389   ||   -0.07311   ||   +0.04158   ||   +0.08111   |
|   84.15   ||   -0.00963   ||   +0.08639   ||   +0.01168   ||   -0.08583   ||   -0.01780   ||   +0.08414   ||   +0.02780   ||   -0.08018   ||   -0.04114   ||   +0.07235   |
|   85.14   ||   -0.07710   ||   +0.03870   ||   +0.07801   ||   -0.03503   ||   -0.08048   ||   +0.02747   ||   +0.08370   ||   -0.01567   ||   -0.08628   ||   -0.00054   |
|   86.13   ||   -0.07460   ||   -0.04316   ||   +0.07360   ||   +0.04658   ||   -0.07035   ||   -0.05312   ||   +0.06419   ||   +0.06206   ||   -0.05410   ||   -0.07211   |
|   87.12   ||   -0.00518   ||   -0.08536   ||   +0.00322   ||   +0.08550   ||   +0.00267   ||   -0.08526   ||   -0.01245   ||   +0.08354   ||   +0.02588   ||   -0.07879   |
|   88.11   ||   +0.06811   ||   -0.05047   ||   -0.06925   ||   +0.04733   ||   +0.07248   ||   -0.04075   ||   -0.07710   ||   +0.03025   ||   +0.08191   ||   -0.01537   |
|   89.10   ||   +0.07944   ||   +0.02932   ||   -0.07879   ||   -0.03286   ||   +0.07657   ||   +0.03973   ||   -0.07211   ||   -0.04944   ||   +0.06434   ||   +0.06100   |
|   90.09   ||   +0.01934   ||   +0.08191   ||   -0.01752   ||   -0.08269   ||   +0.01202   ||   +0.08376   ||   -0.00272   ||   -0.08412   ||   -0.01035   ||   +0.08228   |
|   91.08   ||   -0.05747   ||   +0.06041   ||   +0.05879   ||   -0.05783   ||   -0.06260   ||   +0.05233   ||   +0.06835   ||   -0.04332   ||   -0.07501   ||   +0.03015   |
|   92.07   ||   -0.08185   ||   -0.01509   ||   +0.08153   ||   +0.01863   ||   -0.08031   ||   -0.02561   ||   +0.07753   ||   +0.03572   ||   -0.07210   ||   -0.04825   |
|   93.06   ||   -0.03249   ||   -0.07624   ||   +0.03085   ||   +0.07756   ||   -0.02585   ||   -0.07978   ||   +0.01728   ||   +0.08201   ||   -0.00494   ||   -0.08286   |
|   94.05   ||   +0.04552   ||   -0.06829   ||   -0.04697   ||   +0.06629   ||   +0.05120   ||   -0.06194   ||   -0.05779   ||   +0.05457   ||   +0.06591   ||   -0.04335   |
|   95.04   ||   +0.08184   ||   +0.00088   ||   -0.08182   ||   -0.00433   ||   +0.08155   ||   +0.01119   ||   -0.08037   ||   -0.02134   ||   +0.07723   ||   +0.03434   |
|   96.03   ||   +0.04430   ||   +0.06855   ||   -0.04287   ||   -0.07033   ||   +0.03848   ||   +0.07354   ||   -0.03082   ||   -0.07739   ||   +0.01954   ||   +0.08064   |
|   97.02   ||   -0.03264   ||   +0.07397   ||   +0.03417   ||   -0.07256   ||   -0.03865   ||   +0.06937   ||   +0.04580   ||   -0.06371   ||   -0.05500   ||   +0.05464   |
|   98.01   ||   -0.07949   ||   +0.01292   ||   +0.07975   ||   -0.00966   ||   -0.08034   ||   +0.00310   ||   +0.08066   ||   +0.00677   ||   -0.07969   ||   -0.01978   |
|   99.00   ||   -0.05447   ||   -0.05912   ||   +0.05328   ||   +0.06128   ||   -0.04957   ||   -0.06528   ||   +0.04297   ||   +0.07049   ||   -0.03300   ||   -0.07582   |
|-----------||--------------||--------------||--------------||--------------||--------------||--------------||--------------||--------------||--------------||--------------|
